clean_rrmse,fold,lambda_a,lambda_y,low_eog_observation_retention,method,panel,remaining_ratio,seed
0.835515986548368,0,1,0.5,,CALIB_ENERGY_DET_MATCH,paired,,20260830
0.8342079280628241,0,1,0.5,,CALIB_ENERGY_DET_WRONG,paired,,20260830
0.8397794912986379,0,1,0.5,,POP_ENERGY_DET,paired,,20260830
0.8374534259831611,0,1,0.5,,CALIB_ENERGY_SDEDIT_MATCH,paired,,20260830
0.8362109878483656,0,1,0.5,,CALIB_ENERGY_SDEDIT_WRONG,paired,,20260830
0.8392833480708456,0,1,0.5,,POP_ENERGY_SDEDIT,paired,,20260830
,0,1,0.5,0.8914095520352324,CALIB_ENERGY_DET_MATCH,natural,0.7981566302478313,20260830
,0,1,0.5,0.8916533745941706,CALIB_ENERGY_DET_WRONG,natural,0.8252633145699898,20260830
,0,1,0.5,0.9004886090891281,POP_ENERGY_DET,natural,0.8312054295092821,20260830
,0,1,0.5,0.8945155771798454,CALIB_ENERGY_SDEDIT_MATCH,natural,0.8110197273393472,20260830
,0,1,0.5,0.8947393725005289,CALIB_ENERGY_SDEDIT_WRONG,natural,0.8255040422081947,20260830
,0,1,0.5,0.8987927481357474,POP_ENERGY_SDEDIT,natural,0.83239242558678,20260830
0.8387094248367551,0,1,2,,CALIB_ENERGY_DET_MATCH,paired,,20260830
0.8379550486788503,0,1,2,,CALIB_ENERGY_DET_WRONG,paired,,20260830
0.8421056699371547,0,1,2,,POP_ENERGY_DET,paired,,20260830
0.8406634244117109,0,1,2,,CALIB_ENERGY_SDEDIT_MATCH,paired,,20260830
0.8397559232641166,0,1,2,,CALIB_ENERGY_SDEDIT_WRONG,paired,,20260830
0.8416430897001798,0,1,2,,POP_ENERGY_SDEDIT,paired,,20260830
,0,1,2,0.9311598449130543,CALIB_ENERGY_DET_MATCH,natural,0.8424590056141218,20260830
,0,1,2,0.9315430850935323,CALIB_ENERGY_DET_WRONG,natural,0.8616437390446663,20260830
,0,1,2,0.9371457010371765,POP_ENERGY_DET,natural,0.8727811823288599,20260830
,0,1,2,0.9330905270956767,CALIB_ENERGY_SDEDIT_MATCH,natural,0.8529625255614519,20260830
,0,1,2,0.9334423396115502,CALIB_ENERGY_SDEDIT_WRONG,natural,0.8626912795007229,20260830
,0,1,2,0.9361369610802891,POP_ENERGY_SDEDIT,natural,0.873246343806386,20260830
0.8509977808425901,0,1,8,,CALIB_ENERGY_DET_MATCH,paired,,20260830
0.8501812260328734,0,1,8,,CALIB_ENERGY_DET_WRONG,paired,,20260830
0.852255629140321,0,1,8,,POP_ENERGY_DET,paired,,20260830
0.8524729045117662,0,1,8,,CALIB_ENERGY_SDEDIT_MATCH,paired,,20260830
0.8514731159981844,0,1,8,,CALIB_ENERGY_SDEDIT_WRONG,paired,,20260830
0.8521005036794426,0,1,8,,POP_ENERGY_SDEDIT,paired,,20260830
,0,1,8,0.9712178655997074,CALIB_ENERGY_DET_MATCH,natural,0.9096309840679169,20260830
,0,1,8,0.9717513594514458,CALIB_ENERGY_DET_WRONG,natural,0.92001973092556,20260830
,0,1,8,0.9739582932961639,POP_ENERGY_DET,natural,0.9339798328777155,20260830
,0,1,8,0.9719791231036652,CALIB_ENERGY_SDEDIT_MATCH,natural,0.9166333538790544,20260830
,0,1,8,0.972464181521597,CALIB_ENERGY_SDEDIT_WRONG,natural,0.9212989571193854,20260830
,0,1,8,0.9736304312197414,POP_ENERGY_SDEDIT,natural,0.9341572411358356,20260830
