channels_tsv,header,motion_condition,outcomes_opened,participant,participant_role,processed_eeg_channels,processed_eog_channels,processed_imu_channels,sampling_rate_hz,session,source_channels_tsv,source_eeg_channels,source_eog_channels,support_or_query,task
/projects/EEG-foundation-model/mobile_bci/sub-02/ses-02/eeg/sub-02_ses-02_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-02/ses-02/eeg/sub-02_ses-02_task-SSVEP_eeg.vhdr,standing_0.0mps,False,sub-02,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-02/ses-02/eeg/sub-02_ses-02_task-SSVEP_channels.tsv,46,4,support,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-02/ses-03/eeg/sub-02_ses-03_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-02/ses-03/eeg/sub-02_ses-03_task-ERP_eeg.vhdr,slow_walking_0.8mps,False,sub-02,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-02/ses-03/eeg/sub-02_ses-03_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-02/ses-03/eeg/sub-02_ses-03_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-02/ses-03/eeg/sub-02_ses-03_task-SSVEP_eeg.vhdr,slow_walking_0.8mps,False,sub-02,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-02/ses-03/eeg/sub-02_ses-03_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-02/ses-04/eeg/sub-02_ses-04_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-02/ses-04/eeg/sub-02_ses-04_task-ERP_eeg.vhdr,fast_walking_1.6mps,False,sub-02,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-02/ses-04/eeg/sub-02_ses-04_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-02/ses-04/eeg/sub-02_ses-04_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-02/ses-04/eeg/sub-02_ses-04_task-SSVEP_eeg.vhdr,fast_walking_1.6mps,False,sub-02,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-02/ses-04/eeg/sub-02_ses-04_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-02/ses-05/eeg/sub-02_ses-05_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-02/ses-05/eeg/sub-02_ses-05_task-ERP_eeg.vhdr,slight_running_2.0mps,False,sub-02,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-02/ses-05/eeg/sub-02_ses-05_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-02/ses-05/eeg/sub-02_ses-05_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-02/ses-05/eeg/sub-02_ses-05_task-SSVEP_eeg.vhdr,slight_running_2.0mps,False,sub-02,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-02/ses-05/eeg/sub-02_ses-05_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-03/ses-01/eeg/sub-03_ses-01_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-03/ses-01/eeg/sub-03_ses-01_task-ERP_eeg.vhdr,erp_training_standing,False,sub-03,outer_training_development,46,0,27,100.0,ses-01,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-03/ses-01/eeg/sub-03_ses-01_task-ERP_channels.tsv,46,4,training_auxiliary,ERP
/projects/EEG-foundation-model/mobile_bci/sub-03/ses-02/eeg/sub-03_ses-02_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-03/ses-02/eeg/sub-03_ses-02_task-ERP_eeg.vhdr,standing_0.0mps,False,sub-03,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-03/ses-02/eeg/sub-03_ses-02_task-ERP_channels.tsv,46,4,support,ERP
/projects/EEG-foundation-model/mobile_bci/sub-03/ses-02/eeg/sub-03_ses-02_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-03/ses-02/eeg/sub-03_ses-02_task-SSVEP_eeg.vhdr,standing_0.0mps,False,sub-03,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-03/ses-02/eeg/sub-03_ses-02_task-SSVEP_channels.tsv,46,4,support,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-03/ses-03/eeg/sub-03_ses-03_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-03/ses-03/eeg/sub-03_ses-03_task-ERP_eeg.vhdr,slow_walking_0.8mps,False,sub-03,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-03/ses-03/eeg/sub-03_ses-03_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-03/ses-03/eeg/sub-03_ses-03_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-03/ses-03/eeg/sub-03_ses-03_task-SSVEP_eeg.vhdr,slow_walking_0.8mps,False,sub-03,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-03/ses-03/eeg/sub-03_ses-03_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-03/ses-04/eeg/sub-03_ses-04_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-03/ses-04/eeg/sub-03_ses-04_task-ERP_eeg.vhdr,fast_walking_1.6mps,False,sub-03,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-03/ses-04/eeg/sub-03_ses-04_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-03/ses-04/eeg/sub-03_ses-04_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-03/ses-04/eeg/sub-03_ses-04_task-SSVEP_eeg.vhdr,fast_walking_1.6mps,False,sub-03,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-03/ses-04/eeg/sub-03_ses-04_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-03/ses-05/eeg/sub-03_ses-05_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-03/ses-05/eeg/sub-03_ses-05_task-ERP_eeg.vhdr,slight_running_2.0mps,False,sub-03,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-03/ses-05/eeg/sub-03_ses-05_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-03/ses-05/eeg/sub-03_ses-05_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-03/ses-05/eeg/sub-03_ses-05_task-SSVEP_eeg.vhdr,slight_running_2.0mps,False,sub-03,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-03/ses-05/eeg/sub-03_ses-05_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-04/ses-01/eeg/sub-04_ses-01_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-04/ses-01/eeg/sub-04_ses-01_task-ERP_eeg.vhdr,erp_training_standing,False,sub-04,outer_training_development,46,0,27,100.0,ses-01,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-04/ses-01/eeg/sub-04_ses-01_task-ERP_channels.tsv,46,4,training_auxiliary,ERP
/projects/EEG-foundation-model/mobile_bci/sub-04/ses-02/eeg/sub-04_ses-02_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-04/ses-02/eeg/sub-04_ses-02_task-ERP_eeg.vhdr,standing_0.0mps,False,sub-04,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-04/ses-02/eeg/sub-04_ses-02_task-ERP_channels.tsv,46,4,support,ERP
/projects/EEG-foundation-model/mobile_bci/sub-04/ses-02/eeg/sub-04_ses-02_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-04/ses-02/eeg/sub-04_ses-02_task-SSVEP_eeg.vhdr,standing_0.0mps,False,sub-04,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-04/ses-02/eeg/sub-04_ses-02_task-SSVEP_channels.tsv,46,4,support,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-04/ses-03/eeg/sub-04_ses-03_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-04/ses-03/eeg/sub-04_ses-03_task-ERP_eeg.vhdr,slow_walking_0.8mps,False,sub-04,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-04/ses-03/eeg/sub-04_ses-03_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-04/ses-03/eeg/sub-04_ses-03_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-04/ses-03/eeg/sub-04_ses-03_task-SSVEP_eeg.vhdr,slow_walking_0.8mps,False,sub-04,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-04/ses-03/eeg/sub-04_ses-03_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-04/ses-04/eeg/sub-04_ses-04_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-04/ses-04/eeg/sub-04_ses-04_task-ERP_eeg.vhdr,fast_walking_1.6mps,False,sub-04,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-04/ses-04/eeg/sub-04_ses-04_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-04/ses-04/eeg/sub-04_ses-04_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-04/ses-04/eeg/sub-04_ses-04_task-SSVEP_eeg.vhdr,fast_walking_1.6mps,False,sub-04,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-04/ses-04/eeg/sub-04_ses-04_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-04/ses-05/eeg/sub-04_ses-05_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-04/ses-05/eeg/sub-04_ses-05_task-ERP_eeg.vhdr,slight_running_2.0mps,False,sub-04,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-04/ses-05/eeg/sub-04_ses-05_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-04/ses-05/eeg/sub-04_ses-05_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-04/ses-05/eeg/sub-04_ses-05_task-SSVEP_eeg.vhdr,slight_running_2.0mps,False,sub-04,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-04/ses-05/eeg/sub-04_ses-05_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-05/ses-01/eeg/sub-05_ses-01_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-05/ses-01/eeg/sub-05_ses-01_task-ERP_eeg.vhdr,erp_training_standing,False,sub-05,outer_training_development,46,0,27,100.0,ses-01,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-05/ses-01/eeg/sub-05_ses-01_task-ERP_channels.tsv,46,4,training_auxiliary,ERP
/projects/EEG-foundation-model/mobile_bci/sub-05/ses-02/eeg/sub-05_ses-02_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-05/ses-02/eeg/sub-05_ses-02_task-ERP_eeg.vhdr,standing_0.0mps,False,sub-05,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-05/ses-02/eeg/sub-05_ses-02_task-ERP_channels.tsv,46,4,support,ERP
/projects/EEG-foundation-model/mobile_bci/sub-05/ses-02/eeg/sub-05_ses-02_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-05/ses-02/eeg/sub-05_ses-02_task-SSVEP_eeg.vhdr,standing_0.0mps,False,sub-05,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-05/ses-02/eeg/sub-05_ses-02_task-SSVEP_channels.tsv,46,4,support,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-05/ses-03/eeg/sub-05_ses-03_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-05/ses-03/eeg/sub-05_ses-03_task-ERP_eeg.vhdr,slow_walking_0.8mps,False,sub-05,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-05/ses-03/eeg/sub-05_ses-03_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-05/ses-03/eeg/sub-05_ses-03_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-05/ses-03/eeg/sub-05_ses-03_task-SSVEP_eeg.vhdr,slow_walking_0.8mps,False,sub-05,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-05/ses-03/eeg/sub-05_ses-03_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-05/ses-04/eeg/sub-05_ses-04_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-05/ses-04/eeg/sub-05_ses-04_task-ERP_eeg.vhdr,fast_walking_1.6mps,False,sub-05,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-05/ses-04/eeg/sub-05_ses-04_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-05/ses-04/eeg/sub-05_ses-04_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-05/ses-04/eeg/sub-05_ses-04_task-SSVEP_eeg.vhdr,fast_walking_1.6mps,False,sub-05,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-05/ses-04/eeg/sub-05_ses-04_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-05/ses-05/eeg/sub-05_ses-05_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-05/ses-05/eeg/sub-05_ses-05_task-ERP_eeg.vhdr,slight_running_2.0mps,False,sub-05,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-05/ses-05/eeg/sub-05_ses-05_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-05/ses-05/eeg/sub-05_ses-05_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-05/ses-05/eeg/sub-05_ses-05_task-SSVEP_eeg.vhdr,slight_running_2.0mps,False,sub-05,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-05/ses-05/eeg/sub-05_ses-05_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-06/ses-01/eeg/sub-06_ses-01_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-06/ses-01/eeg/sub-06_ses-01_task-ERP_eeg.vhdr,erp_training_standing,False,sub-06,outer_training_development,46,0,27,100.0,ses-01,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-06/ses-01/eeg/sub-06_ses-01_task-ERP_channels.tsv,46,4,training_auxiliary,ERP
/projects/EEG-foundation-model/mobile_bci/sub-06/ses-02/eeg/sub-06_ses-02_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-06/ses-02/eeg/sub-06_ses-02_task-ERP_eeg.vhdr,standing_0.0mps,False,sub-06,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-06/ses-02/eeg/sub-06_ses-02_task-ERP_channels.tsv,46,4,support,ERP
/projects/EEG-foundation-model/mobile_bci/sub-06/ses-02/eeg/sub-06_ses-02_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-06/ses-02/eeg/sub-06_ses-02_task-SSVEP_eeg.vhdr,standing_0.0mps,False,sub-06,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-06/ses-02/eeg/sub-06_ses-02_task-SSVEP_channels.tsv,46,4,support,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-06/ses-03/eeg/sub-06_ses-03_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-06/ses-03/eeg/sub-06_ses-03_task-ERP_eeg.vhdr,slow_walking_0.8mps,False,sub-06,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-06/ses-03/eeg/sub-06_ses-03_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-06/ses-03/eeg/sub-06_ses-03_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-06/ses-03/eeg/sub-06_ses-03_task-SSVEP_eeg.vhdr,slow_walking_0.8mps,False,sub-06,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-06/ses-03/eeg/sub-06_ses-03_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-06/ses-04/eeg/sub-06_ses-04_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-06/ses-04/eeg/sub-06_ses-04_task-ERP_eeg.vhdr,fast_walking_1.6mps,False,sub-06,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-06/ses-04/eeg/sub-06_ses-04_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-06/ses-04/eeg/sub-06_ses-04_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-06/ses-04/eeg/sub-06_ses-04_task-SSVEP_eeg.vhdr,fast_walking_1.6mps,False,sub-06,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-06/ses-04/eeg/sub-06_ses-04_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-06/ses-05/eeg/sub-06_ses-05_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-06/ses-05/eeg/sub-06_ses-05_task-ERP_eeg.vhdr,slight_running_2.0mps,False,sub-06,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-06/ses-05/eeg/sub-06_ses-05_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-06/ses-05/eeg/sub-06_ses-05_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-06/ses-05/eeg/sub-06_ses-05_task-SSVEP_eeg.vhdr,slight_running_2.0mps,False,sub-06,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-06/ses-05/eeg/sub-06_ses-05_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-07/ses-01/eeg/sub-07_ses-01_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-07/ses-01/eeg/sub-07_ses-01_task-ERP_eeg.vhdr,erp_training_standing,False,sub-07,outer_training_development,46,0,27,100.0,ses-01,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-07/ses-01/eeg/sub-07_ses-01_task-ERP_channels.tsv,46,4,training_auxiliary,ERP
/projects/EEG-foundation-model/mobile_bci/sub-07/ses-02/eeg/sub-07_ses-02_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-07/ses-02/eeg/sub-07_ses-02_task-ERP_eeg.vhdr,standing_0.0mps,False,sub-07,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-07/ses-02/eeg/sub-07_ses-02_task-ERP_channels.tsv,46,4,support,ERP
/projects/EEG-foundation-model/mobile_bci/sub-07/ses-02/eeg/sub-07_ses-02_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-07/ses-02/eeg/sub-07_ses-02_task-SSVEP_eeg.vhdr,standing_0.0mps,False,sub-07,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-07/ses-02/eeg/sub-07_ses-02_task-SSVEP_channels.tsv,46,4,support,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-07/ses-03/eeg/sub-07_ses-03_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-07/ses-03/eeg/sub-07_ses-03_task-ERP_eeg.vhdr,slow_walking_0.8mps,False,sub-07,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-07/ses-03/eeg/sub-07_ses-03_task-ERP_channels.tsv,46,4,query,ERP
