best_criterion,branch_commit,checkpoint_path,config,digest_match,fold,input_contract,model,output_contract,recorded_sha256,seed,sha256,source,status,training_job,v37t_binding
V24 best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_0/seed_20260825/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 16, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_identity"": 0.5, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 5000, ""model"": ""population_anchor_v24"", ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,0,frozen historical contract,V24_POP_ANCHOR,clean or artifact as registered,45ee49596608b22e9bd390261555cb5a3d103a04e14b233a9773612b865f1f68,20260825,45ee49596608b22e9bd390261555cb5a3d103a04e14b233a9773612b865f1f68,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_0/seed_20260825/best_joint.pt,"{""batch_size"": 8, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_basis"": 0.01, ""lambda_operator"": 0.05, ""lambda_rank"": 0.1, ""learning_rate"": 0.0001, ""margin"": 0.01, ""maximum_updates"": 15000, ""minimum_updates"": 4000, ""model"": ""setcalib_det"", ""natural_fraction"": 0.3, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,0,frozen historical contract,SetCalibDET,clean or artifact as registered,51ad7a595c0ac54505f925bee8c05cb4adc88d4251197a5f3ebd50a5eec1cc99,20260825,51ad7a595c0ac54505f925bee8c05cb4adc88d4251197a5f3ebd50a5eec1cc99,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/diff/fold_0/seed_20260825/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 8, ""ddim_steps"": 25, ""diffusion_steps"": 1000, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_decoded"": 0.1, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_diff"", ""rank"": 8, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,0,frozen historical contract,SetCalibDiff,clean or artifact as registered,31c5516ffc00835f78b95a060e06f42eea1bb464086c3e1f002488ec3aeb5061,20260825,31c5516ffc00835f78b95a060e06f42eea1bb464086c3e1f002488ec3aeb5061,V25,available,see reports/slurm/v25_job_ids.txt,verified
V24 best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_0/seed_20260826/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 16, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_identity"": 0.5, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 5000, ""model"": ""population_anchor_v24"", ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,0,frozen historical contract,V24_POP_ANCHOR,clean or artifact as registered,2f1b75528314edc5784482f19982e8f6a47c14e8c866cb1810891e783251dfcb,20260826,2f1b75528314edc5784482f19982e8f6a47c14e8c866cb1810891e783251dfcb,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_0/seed_20260826/best_joint.pt,"{""batch_size"": 8, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_basis"": 0.01, ""lambda_operator"": 0.05, ""lambda_rank"": 0.1, ""learning_rate"": 0.0001, ""margin"": 0.01, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_det"", ""natural_fraction"": 0.3, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,0,frozen historical contract,SetCalibDET,clean or artifact as registered,28d583fa128087c245a7fc9f795b61b8a2d0076ef0e4303d2f20fed0af6c8eaa,20260826,28d583fa128087c245a7fc9f795b61b8a2d0076ef0e4303d2f20fed0af6c8eaa,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/diff/fold_0/seed_20260826/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 8, ""ddim_steps"": 25, ""diffusion_steps"": 1000, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_decoded"": 0.1, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_diff"", ""rank"": 8, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,0,frozen historical contract,SetCalibDiff,clean or artifact as registered,55159284a529446492be201f1c22f12638ac4595cdf571d48fadfff31683c83b,20260826,55159284a529446492be201f1c22f12638ac4595cdf571d48fadfff31683c83b,V25,available,see reports/slurm/v25_job_ids.txt,verified
V24 best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_0/seed_20260824/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 16, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_identity"": 0.5, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 5000, ""model"": ""population_anchor_v24"", ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,0,frozen historical contract,V24_POP_ANCHOR,clean or artifact as registered,304bb27a4a336df20511376a1fba2614aaec907f1e9dbfbe7541671654b55342,20260827,304bb27a4a336df20511376a1fba2614aaec907f1e9dbfbe7541671654b55342,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_0/seed_20260827/best_joint.pt,"{""batch_size"": 8, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_basis"": 0.01, ""lambda_operator"": 0.05, ""lambda_rank"": 0.1, ""learning_rate"": 0.0001, ""margin"": 0.01, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_det"", ""natural_fraction"": 0.3, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,0,frozen historical contract,SetCalibDET,clean or artifact as registered,bf1f1ce83bcd909d7df30227105a2b3e141c01e3cdf30d2fc5fba3e49663d4d6,20260827,bf1f1ce83bcd909d7df30227105a2b3e141c01e3cdf30d2fc5fba3e49663d4d6,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/diff/fold_0/seed_20260827/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 8, ""ddim_steps"": 25, ""diffusion_steps"": 1000, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_decoded"": 0.1, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_diff"", ""rank"": 8, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,0,frozen historical contract,SetCalibDiff,clean or artifact as registered,a952d817c1949a20ab8a6cdda1a38f86048d8fb2b0919ee46e0a6e6ca063652f,20260827,a952d817c1949a20ab8a6cdda1a38f86048d8fb2b0919ee46e0a6e6ca063652f,V25,available,see reports/slurm/v25_job_ids.txt,verified
V24 best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_1/seed_20260825/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 16, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_identity"": 0.5, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 5000, ""model"": ""population_anchor_v24"", ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,1,frozen historical contract,V24_POP_ANCHOR,clean or artifact as registered,da97bb1e5a45cc878737df9e569ed0b744d4b7dc8043d406ca19df65709f0250,20260825,da97bb1e5a45cc878737df9e569ed0b744d4b7dc8043d406ca19df65709f0250,V25,available,see reports/slurm/v25_job_ids.txt,verified
