bootstrap_high,bootstrap_low,mean,median,method,metric,panel,participants,positive
0.0,0.0,0.0,0.0,STANDARD,psd_distortion,natural,15,0
0.0,0.0,0.0,0.0,STANDARD,covariance_distortion,natural,15,0
1.0,1.0,1.0,1.0,STANDARD,output_input_rms_ratio,natural,15,15
0.0,0.0,0.0,0.0,STANDARD,observation_change_ratio,natural,15,0
1.046545025120652,0.8205710300185448,0.9317232866006095,0.9159355223789398,V25_SET_CALIB_DET_MATCH,heldout_eog_remaining_ratio,natural,15,15
2.4832409339023664,0.8867974804220351,1.6849504444811023,1.41414255060194,V25_SET_CALIB_DET_MATCH,artifact_attenuation_db,natural,15,13
0.29005955440585546,0.19782720503135107,0.24512011530818983,0.26170570150264033,V25_SET_CALIB_DET_MATCH,eeg_eog_coherence_reduction,natural,15,15
65.56086560063247,49.33209740165177,57.419961142735055,58.51227006429364,V25_SET_CALIB_DET_MATCH,frontal_residual_topography,natural,15,15
0.2645685963274657,0.18023614490956946,0.2210113487727684,0.2194707838419049,V25_SET_CALIB_DET_MATCH,low_eog_observation_change,natural,15,15
0.8197638550904306,0.7354314036725343,0.7789886512272316,0.780529216158095,V25_SET_CALIB_DET_MATCH,low_eog_observation_retention,natural,15,15
0.43998420002478056,0.34021836180664417,0.39043187775712196,0.41265778961166155,V25_SET_CALIB_DET_MATCH,psd_distortion,natural,15,15
0.32696575022834146,0.22064871719021978,0.2732937623788729,0.27593860901653644,V25_SET_CALIB_DET_MATCH,covariance_distortion,natural,15,15
0.8669667230363043,0.7896450759964616,0.8276459476658833,0.8294559537786363,V25_SET_CALIB_DET_MATCH,output_input_rms_ratio,natural,15,15
0.3256883447261606,0.23079897802645774,0.2788839503415019,0.28933120855646055,V25_SET_CALIB_DET_MATCH,observation_change_ratio,natural,15,15
1.0342564798184375,0.835284094861719,0.9316782463757572,0.9161631051902476,V25_SET_CALIB_DET_POP,heldout_eog_remaining_ratio,natural,15,15
2.1339170499050923,0.7925158336606706,1.473846394982526,1.4409001604047897,V25_SET_CALIB_DET_POP,artifact_attenuation_db,natural,15,13
0.2606532899868827,0.1820863695449253,0.22258073576871312,0.26104350628824313,V25_SET_CALIB_DET_POP,eeg_eog_coherence_reduction,natural,15,15
65.9040317576438,50.22791170788214,58.16515889516505,64.10855137436734,V25_SET_CALIB_DET_POP,frontal_residual_topography,natural,15,15
0.24479903565207123,0.16359515602179409,0.20236212915761315,0.19526239700505504,V25_SET_CALIB_DET_POP,low_eog_observation_change,natural,15,15
0.8364048439782061,0.7552009643479289,0.7976378708423869,0.804737602994945,V25_SET_CALIB_DET_POP,low_eog_observation_retention,natural,15,15
0.4175394889200482,0.32509137881849703,0.3723519279985804,0.3995158461718565,V25_SET_CALIB_DET_POP,psd_distortion,natural,15,15
0.3114277807907932,0.20550160815465818,0.2571871579537863,0.25745345596568037,V25_SET_CALIB_DET_POP,covariance_distortion,natural,15,15
0.8756142412809653,0.8028784943569127,0.8393970162303187,0.8383131052285883,V25_SET_CALIB_DET_POP,output_input_rms_ratio,natural,15,15
0.2963512469871956,0.2089268171986565,0.25250556598826723,0.2622733408067304,V25_SET_CALIB_DET_POP,observation_change_ratio,natural,15,15
1.0237174916189784,0.8264011471760572,0.9233726824417728,0.9080217356757251,V25_SET_CALIB_DET_WRONG,heldout_eog_remaining_ratio,natural,15,15
2.3595463977560778,0.928665245706892,1.6412825947777254,1.3632705980297248,V25_SET_CALIB_DET_WRONG,artifact_attenuation_db,natural,15,13
0.27759132604294245,0.17180253285108685,0.22779576415220448,0.2779048605359102,V25_SET_CALIB_DET_WRONG,eeg_eog_coherence_reduction,natural,15,14
65.10986949854406,49.18467262937391,57.16670659609117,59.82652267422035,V25_SET_CALIB_DET_WRONG,frontal_residual_topography,natural,15,15
0.260930758057715,0.18396810480752884,0.2221932315104732,0.2181692566286866,V25_SET_CALIB_DET_WRONG,low_eog_observation_change,natural,15,15
0.8160318951924712,0.7390692419422851,0.7778067684895267,0.7818307433713133,V25_SET_CALIB_DET_WRONG,low_eog_observation_retention,natural,15,15
0.43426591635256656,0.3379214533283789,0.3868503127472235,0.4110622286026013,V25_SET_CALIB_DET_WRONG,psd_distortion,natural,15,15
0.3287740944423935,0.22848259981143262,0.27900716285342686,0.27882702837445555,V25_SET_CALIB_DET_WRONG,covariance_distortion,natural,15,15
0.875392742294313,0.7986776303224988,0.8365971434054965,0.83008820957744,V25_SET_CALIB_DET_WRONG,output_input_rms_ratio,natural,15,15
0.32113015198761125,0.23304416683681442,0.2780239240782262,0.2878314082325076,V25_SET_CALIB_DET_WRONG,observation_change_ratio,natural,15,15
1.0370331447071934,0.8013440323081956,0.9176188578588644,0.918327635546333,V26_CALIB_REFINE_DET_MATCH,heldout_eog_remaining_ratio,natural,15,15
2.8379892583831263,1.0069378388005552,1.9056412008899364,1.4570131119875742,V26_CALIB_REFINE_DET_MATCH,artifact_attenuation_db,natural,15,13
0.31003915253656444,0.20436818092394693,0.25737547339441263,0.2623640168574097,V26_CALIB_REFINE_DET_MATCH,eeg_eog_coherence_reduction,natural,15,15
65.06874498883828,48.04360806933372,56.452768895326685,55.546707949739584,V26_CALIB_REFINE_DET_MATCH,frontal_residual_topography,natural,15,15
0.26826649736703373,0.1840004116088964,0.22479873480112722,0.23407924744004374,V26_CALIB_REFINE_DET_MATCH,low_eog_observation_change,natural,15,15
0.8159995883911036,0.7317335026329662,0.7752012651988728,0.7659207525599563,V26_CALIB_REFINE_DET_MATCH,low_eog_observation_retention,natural,15,15
0.4401088100315282,0.3420758338676183,0.3909209894556266,0.4032613491967863,V26_CALIB_REFINE_DET_MATCH,psd_distortion,natural,15,15
0.328798203271727,0.22233661533095656,0.2752009052239252,0.28350657623031744,V26_CALIB_REFINE_DET_MATCH,covariance_distortion,natural,15,15
0.8641788059544716,0.7811119846691751,0.8220544762417242,0.8268317883055073,V26_CALIB_REFINE_DET_MATCH,output_input_rms_ratio,natural,15,15
0.34065915911503064,0.23958444134172655,0.290810254166625,0.3037941467643037,V26_CALIB_REFINE_DET_MATCH,observation_change_ratio,natural,15,15
1.0555714981616255,0.824801895940023,0.9386353244955536,0.9312872367794951,V26_CALIB_SDEDIT_MATCH,heldout_eog_remaining_ratio,natural,15,15
2.468101048639082,0.8386502663464723,1.6509180104229684,1.3638158041505415,V26_CALIB_SDEDIT_MATCH,artifact_attenuation_db,natural,15,13
0.29393149106794114,0.19876051215274426,0.24721495876446814,0.2622232065838672,V26_CALIB_SDEDIT_MATCH,eeg_eog_coherence_reduction,natural,15,15
66.58562674371089,49.49435560163931,57.90796334076993,58.11305925239455,V26_CALIB_SDEDIT_MATCH,frontal_residual_topography,natural,15,15
0.277656725276785,0.19154222834472526,0.23323755594584406,0.23230870320923003,V26_CALIB_SDEDIT_MATCH,low_eog_observation_change,natural,15,15
0.8084577716552747,0.7223432747232152,0.7667624440541558,0.76769129679077,V26_CALIB_SDEDIT_MATCH,low_eog_observation_retention,natural,15,15
0.45074557211490013,0.35056451989071274,0.40081194921119695,0.42574531070667104,V26_CALIB_SDEDIT_MATCH,psd_distortion,natural,15,15
0.33017567751244087,0.22307482116843724,0.2762499036903276,0.27526180279881146,V26_CALIB_SDEDIT_MATCH,covariance_distortion,natural,15,15
0.8691212641250337,0.7901395998983282,0.828966439336384,0.8300678874961042,V26_CALIB_SDEDIT_MATCH,output_input_rms_ratio,natural,15,15
0.3355785163015331,0.23910866268922665,0.2878589551194243,0.29654033445395,V26_CALIB_SDEDIT_MATCH,observation_change_ratio,natural,15,15
1.035912330021947,0.8323590604304522,0.9323036524500757,0.9293586013085309,V26_CALIB_SDEDIT_WRONG,heldout_eog_remaining_ratio,natural,15,15
2.332060531060895,0.8655805500271333,1.5937542916307847,1.303265077917813,V26_CALIB_SDEDIT_WRONG,artifact_attenuation_db,natural,15,13
0.2807433444379764,0.17140896450409593,0.22923612120652295,0.2794299701859108,V26_CALIB_SDEDIT_WRONG,eeg_eog_coherence_reduction,natural,15,14
66.73298815572592,49.58473183869963,58.11364905872669,58.59066937633107,V26_CALIB_SDEDIT_WRONG,frontal_residual_topography,natural,15,15
0.2753524360524191,0.19633394244650934,0.23567473264000066,0.23309139092652048,V26_CALIB_SDEDIT_WRONG,low_eog_observation_change,natural,15,15
0.8036660575534905,0.7246475639475808,0.7643252673599993,0.7669086090734796,V26_CALIB_SDEDIT_WRONG,low_eog_observation_retention,natural,15,15
0.4455658597253439,0.3498094793890116,0.39824250227389446,0.4195965901392234,V26_CALIB_SDEDIT_WRONG,psd_distortion,natural,15,15
0.33367527997422214,0.23243069481239753,0.28356822418317584,0.2803793776574645,V26_CALIB_SDEDIT_WRONG,covariance_distortion,natural,15,15
0.8778615620396416,0.799705363060278,0.8382700457128649,0.8311513146545172,V26_CALIB_SDEDIT_WRONG,output_input_rms_ratio,natural,15,15
0.33173931409056473,0.24176345371939909,0.28784063432741896,0.29828643632088425,V26_CALIB_SDEDIT_WRONG,observation_change_ratio,natural,15,15
1.0544268524376397,0.8447604105086373,0.9469500525673784,0.9262099294808352,V26_POP_SDEDIT,heldout_eog_remaining_ratio,natural,15,15
2.1013203569843744,0.6978726606235747,1.4087969818207666,1.364137013127174,V26_POP_SDEDIT,artifact_attenuation_db,natural,15,12
0.2646992851037102,0.1844272355641555,0.22589987502878517,0.266565137137739,V26_POP_SDEDIT,eeg_eog_coherence_reduction,natural,15,15
66.53319755941868,50.49502087626898,58.598574877288144,62.7587864086852,V26_POP_SDEDIT,frontal_residual_topography,natural,15,15
0.2654643934768849,0.18326502658438737,0.22286866214086948,0.21744541759531333,V26_POP_SDEDIT,low_eog_observation_change,natural,15,15
0.8167349734156125,0.734535606523115,0.7771313378591304,0.7825545824046868,V26_POP_SDEDIT,low_eog_observation_retention,natural,15,15
0.4390593180920787,0.34811353534507916,0.39453419066424367,0.42026042732095914,V26_POP_SDEDIT,psd_distortion,natural,15,15
0.31978509935412475,0.21335597126334577,0.26558616369758903,0.2641698704958646,V26_POP_SDEDIT,covariance_distortion,natural,15,15
0.877864788672128,0.8039145269706279,0.8410578207735148,0.8390505588755846,V26_POP_SDEDIT,output_input_rms_ratio,natural,15,15
0.3118384960559591,0.2237932978313961,0.2677293810177869,0.2782597565604717,V26_POP_SDEDIT,observation_change_ratio,natural,15,15
1.0348729554049165,0.8117114182939897,0.922113191393299,0.9183240115334903,V27_ENERGY_DET_L05,heldout_eog_remaining_ratio,natural,15,15
2.5946328035103248,0.8685967470493586,1.7118200400459254,1.2839300589616747,V27_ENERGY_DET_L05,artifact_attenuation_db,natural,15,13
0.2831033570696413,0.18292086691527473,0.23267923914688107,0.23604480349927362,V27_ENERGY_DET_L05,eeg_eog_coherence_reduction,natural,15,15
66.09712497914195,49.47489476394176,57.74294306175184,58.116520115931536,V27_ENERGY_DET_L05,frontal_residual_topography,natural,15,15
0.23415551661615278,0.15373012388020982,0.19192073860225164,0.19062036417354003,V27_ENERGY_DET_L05,low_eog_observation_change,natural,15,15
0.8462698761197901,0.7658444833838473,0.8080792613977484,0.80937963582646,V27_ENERGY_DET_L05,low_eog_observation_retention,natural,15,15
0.3829428836011603,0.28835143687668546,0.33498996345838494,0.34535611222717644,V27_ENERGY_DET_L05,psd_distortion,natural,15,15
0.2933063862345951,0.1911021972349641,0.241104502110995,0.238004410647847,V27_ENERGY_DET_L05,covariance_distortion,natural,15,15
0.8768751295374142,0.7979413279320045,0.8371225352895649,0.8457592359233526,V27_ENERGY_DET_L05,output_input_rms_ratio,natural,15,15
0.3097583254295647,0.2119322608131618,0.26120371719585844,0.27785383970259425,V27_ENERGY_DET_L05,observation_change_ratio,natural,15,15
1.0471927945694497,0.842466163009418,0.9442787732429867,0.9311370145793652,V27_ENERGY_DET_L2,heldout_eog_remaining_ratio,natural,15,15
2.0948744388916984,0.5523268497094357,1.2984295056213255,0.9967434381343124,V27_ENERGY_DET_L2,artifact_attenuation_db,natural,15,11
0.23539350564855366,0.14535343830877923,0.18925806123774777,0.19072906876227474,V27_ENERGY_DET_L2,eeg_eog_coherence_reduction,natural,15,15
69.0790990567176,52.59451734624404,60.826578116744,60.81633589199852,V27_ENERGY_DET_L2,frontal_residual_topography,natural,15,15
0.18259961239276662,0.10669285226636342,0.141974788313835,0.12246262008344491,V27_ENERGY_DET_L2,low_eog_observation_change,natural,15,15
0.8933071477336365,0.8174003876072334,0.8580252116861651,0.8775373799165549,V27_ENERGY_DET_L2,low_eog_observation_retention,natural,15,15
0.2973196872471864,0.20581550848075797,0.25015481425380104,0.24707534986005816,V27_ENERGY_DET_L2,psd_distortion,natural,15,15
0.23382393763958614,0.1386024585269095,0.18427563189172444,0.16487676542494656,V27_ENERGY_DET_L2,covariance_distortion,natural,15,15
0.9004523821498804,0.8297909138100096,0.8652763324162158,0.8716587565042325,V27_ENERGY_DET_L2,output_input_rms_ratio,natural,15,15
0.2623956376949005,0.1685012534245574,0.21522859908319691,0.21704319034138644,V27_ENERGY_DET_L2,observation_change_ratio,natural,15,15
1.0850440812580884,0.9016667119504931,0.9928062091273665,0.969241454863432,V27_ENERGY_DET_L8,heldout_eog_remaining_ratio,natural,15,15
1.3409450877535833,0.05525750840043557,0.6724786836848641,0.583731338591436,V27_ENERGY_DET_L8,artifact_attenuation_db,natural,15,10
0.17037037671884545,0.09609137399052255,0.13147217127981092,0.12747135528295794,V27_ENERGY_DET_L8,eeg_eog_coherence_reduction,natural,15,15
74.7311530953779,57.543488714460715,66.20052717434116,67.69648489938608,V27_ENERGY_DET_L8,frontal_residual_topography,natural,15,15
0.13001124000525704,0.056555987757014106,0.08994694558372118,0.05295196917305627,V27_ENERGY_DET_L8,low_eog_observation_change,natural,15,15
0.9434440122429858,0.8699887599947429,0.9100530544162787,0.9470480308269438,V27_ENERGY_DET_L8,low_eog_observation_retention,natural,15,15
0.20671160863718382,0.11843254782406941,0.16075103532320703,0.15735673792855234,V27_ENERGY_DET_L8,psd_distortion,natural,15,15
0.16434489311540065,0.07670449180456783,0.11771880543188006,0.07372729095361276,V27_ENERGY_DET_L8,covariance_distortion,natural,15,15
0.9330359722949857,0.8735993062909158,0.9041450944846782,0.9037536472399429,V27_ENERGY_DET_L8,output_input_rms_ratio,natural,15,15
0.20725258326021964,0.11855590724122121,0.1619234717950006,0.1483999584276063,V27_ENERGY_DET_L8,observation_change_ratio,natural,15,15
1.0407192609546827,0.8205007166512621,0.9290935862243461,0.9185063645224655,V27_ENERGY_SDEDIT_L05,heldout_eog_remaining_ratio,natural,15,15
2.439692604522069,0.8186952876753459,1.6187367640686892,1.2696663039084848,V27_ENERGY_SDEDIT_L05,artifact_attenuation_db,natural,15,13
0.2757397033755047,0.18078186501045382,0.2284279590122042,0.23639650899897255,V27_ENERGY_SDEDIT_L05,eeg_eog_coherence_reduction,natural,15,15
66.36425773129608,49.98253568781949,58.15668412489367,59.43392297068221,V27_ENERGY_SDEDIT_L05,frontal_residual_topography,natural,15,15
0.2353907650779621,0.15393618292098118,0.1926534631416064,0.18901011624137354,V27_ENERGY_SDEDIT_L05,low_eog_observation_change,natural,15,15
0.8460638170790187,0.7646092349220377,0.8073465368583936,0.8109898837586265,V27_ENERGY_SDEDIT_L05,low_eog_observation_retention,natural,15,15
0.3853654598471423,0.2888476824340174,0.33642776690181575,0.35203366587934026,V27_ENERGY_SDEDIT_L05,psd_distortion,natural,15,15
0.2926422666563569,0.18992212572426462,0.2402529108823762,0.23222435397855548,V27_ENERGY_SDEDIT_L05,covariance_distortion,natural,15,15
0.87834427526962,0.801591384399067,0.8395108094763089,0.8466049597711441,V27_ENERGY_SDEDIT_L05,output_input_rms_ratio,natural,15,15
0.30525945314150393,0.20990447563652653,0.2579652407905369,0.2672832983764779,V27_ENERGY_SDEDIT_L05,observation_change_ratio,natural,15,15
1.0518246007756022,0.8500724378595744,0.9499582583579411,0.9322552136306217,V27_ENERGY_SDEDIT_L2,heldout_eog_remaining_ratio,natural,15,15
1.97356027231875,0.5173589483044653,1.2303718809331998,0.9899857844130173,V27_ENERGY_SDEDIT_L2,artifact_attenuation_db,natural,15,11
0.22883494343906224,0.1439789485860907,0.1858395414287443,0.19140228430669126,V27_ENERGY_SDEDIT_L2,eeg_eog_coherence_reduction,natural,15,15
69.34055097312255,52.99698513769778,61.166003359889324,60.60076172830597,V27_ENERGY_SDEDIT_L2,frontal_residual_topography,natural,15,15
0.1837316730434154,0.10683598562329218,0.14267629038054702,0.12138906029297741,V27_ENERGY_SDEDIT_L2,low_eog_observation_change,natural,15,15
0.8931640143767079,0.8162683269565846,0.8573237096194529,0.8786109397070226,V27_ENERGY_SDEDIT_L2,low_eog_observation_retention,natural,15,15
0.2990165038300691,0.20657390472391438,0.2514188127263973,0.24905620563552752,V27_ENERGY_SDEDIT_L2,psd_distortion,natural,15,15
0.23362996316860243,0.13757962849607036,0.18378335556070746,0.16060199831629524,V27_ENERGY_SDEDIT_L2,covariance_distortion,natural,15,15
0.9016216742510411,0.8326019566571448,0.8671500076484069,0.8720356282412146,V27_ENERGY_SDEDIT_L2,output_input_rms_ratio,natural,15,15
0.25867417378872243,0.16700025547095676,0.21246030192500984,0.20889993606273866,V27_ENERGY_SDEDIT_L2,observation_change_ratio,natural,15,15
1.087978126408048,0.90720333551331,0.9967755017329516,0.969940140025848,V27_ENERGY_SDEDIT_L8,heldout_eog_remaining_ratio,natural,15,15
1.264786565214895,0.03888779044519996,0.6329126044142847,0.5829702315907439,V27_ENERGY_SDEDIT_L8,artifact_attenuation_db,natural,15,10
0.16543306948755518,0.09523604504342006,0.1292165327123488,0.12714868340321997,V27_ENERGY_SDEDIT_L8,eeg_eog_coherence_reduction,natural,15,15
74.9427334781556,57.80458184275093,66.42678282747326,67.47237528470026,V27_ENERGY_SDEDIT_L8,frontal_residual_topography,natural,15,15
0.13084519785513668,0.05686260079319157,0.09059622597809187,0.05350352579218049,V27_ENERGY_SDEDIT_L8,low_eog_observation_change,natural,15,15
0.9431373992068084,0.8691548021448634,0.909403774021908,0.9464964742078195,V27_ENERGY_SDEDIT_L8,low_eog_observation_retention,natural,15,15
0.20811164058650167,0.11953980481634989,0.16195868198119845,0.16021583632421768,V27_ENERGY_SDEDIT_L8,psd_distortion,natural,15,15
0.16440576622979902,0.07636614124665146,0.11775746507950892,0.07434336549475844,V27_ENERGY_SDEDIT_L8,covariance_distortion,natural,15,15
0.9337709944541589,0.8753755339056205,0.9053549151445386,0.9038405470162417,V27_ENERGY_SDEDIT_L8,output_input_rms_ratio,natural,15,15
0.20429043813710593,0.1175398420668458,0.15993006465456347,0.14354241257188058,V27_ENERGY_SDEDIT_L8,observation_change_ratio,natural,15,15
1.0026080338217755,0.9978599926357097,1.000580891239108,1.0007815727429283,V29_PA_SC_CDM_MATCH,heldout_eog_remaining_ratio,natural,15,15
0.029519645930683902,-0.021453293189474667,-0.0006628696927302604,-0.006779764590568265,V29_PA_SC_CDM_MATCH,artifact_attenuation_db,natural,15,2
0.003093979490886241,-0.0010915711725937843,0.000542539659214261,-0.0006612741667584559,V29_PA_SC_CDM_MATCH,eeg_eog_coherence_reduction,natural,15,2
91.23354712381894,66.65644548221019,78.91253684288198,83.88870959683999,V29_PA_SC_CDM_MATCH,frontal_residual_topography,natural,15,15
0.008436546471780071,0.005432035732451108,0.006728396755216545,0.006051882999480484,V29_PA_SC_CDM_MATCH,low_eog_observation_change,natural,15,15
0.9945679642675489,0.9915634535282198,0.9932716032447834,0.9939481170005195,V29_PA_SC_CDM_MATCH,low_eog_observation_retention,natural,15,15
0.04265248871040687,0.013768554282295448,0.024869257611149043,0.014862768598375911,V29_PA_SC_CDM_MATCH,psd_distortion,natural,15,15
0.008197272037132686,0.00508060770555889,0.006485767612662984,0.005253680668645888,V29_PA_SC_CDM_MATCH,covariance_distortion,natural,15,15
1.0004844259314498,0.9978415979886455,0.9995316623379006,1.0002406754213622,V29_PA_SC_CDM_MATCH,output_input_rms_ratio,natural,15,15
0.010323380073470835,0.004968073887843401,0.007136706716918087,0.005285799380290999,V29_PA_SC_CDM_MATCH,observation_change_ratio,natural,15,15
1.0031166229814044,0.99838872317925,1.0010913151890433,1.0013543304468113,V29_PA_SC_CDM_POP,heldout_eog_remaining_ratio,natural,15,15
0.024936607125873568,-0.02588116232350568,-0.005101933705258908,-0.01174079364203885,V29_PA_SC_CDM_POP,artifact_attenuation_db,natural,15,2
0.0026921574919882723,-0.0014834887125716762,0.00014728952476129498,-0.000999802435892442,V29_PA_SC_CDM_POP,eeg_eog_coherence_reduction,natural,15,2
91.28791549922836,66.69498514550588,78.95943595109536,83.89771230239276,V29_PA_SC_CDM_POP,frontal_residual_topography,natural,15,15
0.008512467371298675,0.005488302153981733,0.006794698937201669,0.006169646611057952,V29_PA_SC_CDM_POP,low_eog_observation_change,natural,15,15
0.9945116978460181,0.9914875326287013,0.9932053010627983,0.9938303533889421,V29_PA_SC_CDM_POP,low_eog_observation_retention,natural,15,15
0.04262822635085118,0.013733613591179954,0.02484241475150178,0.014666070609313004,V29_PA_SC_CDM_POP,psd_distortion,natural,15,15
0.008294809506297221,0.005153370133589622,0.006569259399747613,0.0052269756612493435,V29_PA_SC_CDM_POP,covariance_distortion,natural,15,15
1.0007496732442935,0.9981196452969714,0.9998000144586722,1.0006637724650735,V29_PA_SC_CDM_POP,output_input_rms_ratio,natural,15,15
0.01041832617611067,0.00505417641993175,0.007228760588706645,0.005595531674690539,V29_PA_SC_CDM_POP,observation_change_ratio,natural,15,15
1.0026084532434936,0.9978598105955377,1.0005809527535887,1.0007823161015876,V29_PA_SC_CDM_WRONG,heldout_eog_remaining_ratio,natural,15,15
0.029514513571996873,-0.021457175026450566,-0.0006633550532020374,-0.0067861893565193876,V29_PA_SC_CDM_WRONG,artifact_attenuation_db,natural,15,2
0.0030938257006210574,-0.001091577989806163,0.0005424426498887771,-0.0006611769359643157,V29_PA_SC_CDM_WRONG,eeg_eog_coherence_reduction,natural,15,2
91.2336186981963,66.65641881268034,78.91253616104368,83.88869944895481,V29_PA_SC_CDM_WRONG,frontal_residual_topography,natural,15,15
0.00843708273132491,0.00543107828744597,0.0067279395820050185,0.006048813001726098,V29_PA_SC_CDM_WRONG,low_eog_observation_change,natural,15,15
0.9945689217125541,0.991562917268675,0.9932720604179951,0.9939511869982738,V29_PA_SC_CDM_WRONG,low_eog_observation_retention,natural,15,15
0.042653395059812284,0.01376835597066571,0.024869517969191537,0.01486256035617741,V29_PA_SC_CDM_WRONG,psd_distortion,natural,15,15
0.00819756707453582,0.005080455294449271,0.006485735786219361,0.0052528523975328215,V29_PA_SC_CDM_WRONG,covariance_distortion,natural,15,15
1.0004844956007075,0.9978418909895431,0.9995317288636321,1.0002403493682424,V29_PA_SC_CDM_WRONG,output_input_rms_ratio,natural,15,15
0.010323176622731424,0.004967787178972318,0.00713646056255481,0.005283753525131716,V29_PA_SC_CDM_WRONG,observation_change_ratio,natural,15,15
0.9992456932574553,0.9979481560013567,0.9985385186867697,0.9982795473362176,V29_PA_SC_DET_MATCH,heldout_eog_remaining_ratio,natural,15,15
0.017868538783940423,0.006759024658004649,0.012787737646309392,0.014962519894545315,V29_PA_SC_DET_MATCH,artifact_attenuation_db,natural,15,14
0.0017525364328898696,0.0011035671787149118,0.0014122271702163218,0.0013848555615211327,V29_PA_SC_DET_MATCH,eeg_eog_coherence_reduction,natural,15,15
91.39239679312941,66.4982810847621,78.86744784042517,83.43733162879789,V29_PA_SC_DET_MATCH,frontal_residual_topography,natural,15,15
0.0027713568621840884,0.001714783178051235,0.0022085005725072104,0.0018612698537558664,V29_PA_SC_DET_MATCH,low_eog_observation_change,natural,15,15
0.9982852168219488,0.997228643137816,0.997791499427493,0.9981387301462442,V29_PA_SC_DET_MATCH,low_eog_observation_retention,natural,15,15
0.029233536463153683,0.006275646261575391,0.015135851032099511,0.006429205535123016,V29_PA_SC_DET_MATCH,psd_distortion,natural,15,15
0.003662137299531316,0.0021130457135117445,0.0028306143535894055,0.0023805400371495217,V29_PA_SC_DET_MATCH,covariance_distortion,natural,15,15
0.9992920244635143,0.998752565292494,0.9990402857813685,0.9991540340818743,V29_PA_SC_DET_MATCH,output_input_rms_ratio,natural,15,15
0.002997650766470134,0.0018357215202123758,0.0023790388187341803,0.0020644696971160595,V29_PA_SC_DET_MATCH,observation_change_ratio,natural,15,15
1.0002140549834246,0.9988339813881536,0.9994466060617364,0.9994402191359129,V29_PA_SC_DET_POP,heldout_eog_remaining_ratio,natural,15,15
0.010157161882936952,-0.0016456140493441317,0.004890415861465123,0.004863841344089349,V29_PA_SC_DET_POP,artifact_attenuation_db,natural,15,14
0.0010150039226794775,0.0004231382739662151,0.0006823554660302303,0.0005133929562311759,V29_PA_SC_DET_POP,eeg_eog_coherence_reduction,natural,15,15
91.48873712068614,66.56545191467444,78.94962256685268,83.47270760061537,V29_PA_SC_DET_POP,frontal_residual_topography,natural,15,15
0.0024951394229729886,0.0014437689182572972,0.001935596161872535,0.0013091829342234283,V29_PA_SC_DET_POP,low_eog_observation_change,natural,15,15
0.9985562310817426,0.997504860577027,0.9980644038381276,0.9986908170657767,V29_PA_SC_DET_POP,low_eog_observation_retention,natural,15,15
