participant,condition,identity_margin,auroc,positive_similarity,impostor_median,rank1,tar_at_far5,trials,fold,verifier
3,2,0.10144872963428497,0.6745152354570636,0.19276270270347595,0.10169282555580139,0.5263157894736842,0.3157894736842105,19,2,A
8,1,0.039531320333480835,0.5761772853185596,0.17241497337818146,0.13954991102218628,0.47368421052631576,0.3157894736842105,19,2,A
8,2,0.22128434479236603,0.8421052631578947,0.3771829307079315,0.16049233078956604,0.9473684210526315,0.8421052631578947,19,2,A
13,1,0.11799021810293198,0.7091412742382271,0.17355716228485107,0.034983791410923004,0.47368421052631576,0.2631578947368421,19,2,A
13,2,0.3301737606525421,0.9321329639889196,0.3097337484359741,-0.0595267191529274,0.8947368421052632,0.7894736842105263,19,2,A
3,1,0.1272965669631958,0.6911357340720221,0.18010616302490234,0.08973895013332367,0.6842105263157895,0.42105263157894735,19,2,A
3,2,0.10144872963428497,0.6745152354570636,0.19276270270347595,0.10169282555580139,0.5263157894736842,0.3157894736842105,19,2,A
8,1,0.039531320333480835,0.5761772853185596,0.17241497337818146,0.13954991102218628,0.47368421052631576,0.3157894736842105,19,2,A
8,2,0.22128434479236603,0.8421052631578947,0.3771829307079315,0.16049233078956604,0.9473684210526315,0.8421052631578947,19,2,A
13,1,0.11799021810293198,0.7091412742382271,0.17355716228485107,0.034983791410923004,0.47368421052631576,0.2631578947368421,19,2,A
13,2,0.3301737606525421,0.9321329639889196,0.3097337484359741,-0.0595267191529274,0.8947368421052632,0.7894736842105263,19,2,A
3,1,0.1272965669631958,0.6911357340720221,0.18010616302490234,0.08973895013332367,0.6842105263157895,0.42105263157894735,19,2,A
3,2,0.10144872963428497,0.6745152354570636,0.19276270270347595,0.10169282555580139,0.5263157894736842,0.3157894736842105,19,2,A
8,1,0.039531320333480835,0.5761772853185596,0.17241497337818146,0.13954991102218628,0.47368421052631576,0.3157894736842105,19,2,A
8,2,0.22128434479236603,0.8421052631578947,0.3771829307079315,0.16049233078956604,0.9473684210526315,0.8421052631578947,19,2,A
13,1,0.11799021810293198,0.7091412742382271,0.17355716228485107,0.034983791410923004,0.47368421052631576,0.2631578947368421,19,2,A
13,2,0.3301737606525421,0.9321329639889196,0.3097337484359741,-0.0595267191529274,0.8947368421052632,0.7894736842105263,19,2,A
3,1,0.1272965669631958,0.6911357340720221,0.18010616302490234,0.08973895013332367,0.6842105263157895,0.42105263157894735,19,2,A
3,2,0.10144872963428497,0.6745152354570636,0.19276270270347595,0.10169282555580139,0.5263157894736842,0.3157894736842105,19,2,A
8,1,0.039531320333480835,0.5761772853185596,0.17241497337818146,0.13954991102218628,0.47368421052631576,0.3157894736842105,19,2,A
8,2,0.22128434479236603,0.8421052631578947,0.3771829307079315,0.16049233078956604,0.9473684210526315,0.8421052631578947,19,2,A
13,1,0.11799021810293198,0.7091412742382271,0.17355716228485107,0.034983791410923004,0.47368421052631576,0.2631578947368421,19,2,A
13,2,0.3301737606525421,0.9321329639889196,0.3097337484359741,-0.0595267191529274,0.8947368421052632,0.7894736842105263,19,2,A
3,1,0.18777796626091003,0.7991689750692521,0.15233294665813446,-0.04556749016046524,0.7368421052631579,0.15789473684210525,19,2,B
3,2,0.3337330222129822,0.7409972299168974,0.33803802728652954,-0.0866740494966507,0.47368421052631576,0.631578947368421,19,2,B
8,1,0.10074349492788315,0.7202216066481995,0.2367420494556427,0.17258691787719727,0.631578947368421,0.21052631578947367,19,2,B
8,2,0.49398255348205566,0.9238227146814404,0.5622203946113586,0.15886574983596802,0.7894736842105263,0.9473684210526315,19,2,B
13,1,0.4749405086040497,0.979224376731302,0.5947554111480713,0.13644909858703613,0.9473684210526315,0.8947368421052632,19,2,B
13,2,0.8289929628372192,1.0,0.5084953904151917,-0.3357093334197998,1.0,0.8947368421052632,19,2,B
3,1,0.18777796626091003,0.7991689750692521,0.15233294665813446,-0.04556749016046524,0.7368421052631579,0.15789473684210525,19,2,B
3,2,0.3337330222129822,0.7409972299168974,0.33803802728652954,-0.0866740494966507,0.47368421052631576,0.631578947368421,19,2,B
8,1,0.10074349492788315,0.7202216066481995,0.2367420494556427,0.17258691787719727,0.631578947368421,0.21052631578947367,19,2,B
8,2,0.49398255348205566,0.9238227146814404,0.5622203946113586,0.15886574983596802,0.7894736842105263,0.9473684210526315,19,2,B
13,1,0.4749405086040497,0.979224376731302,0.5947554111480713,0.13644909858703613,0.9473684210526315,0.8947368421052632,19,2,B
13,2,0.8289929628372192,1.0,0.5084953904151917,-0.3357093334197998,1.0,0.8947368421052632,19,2,B
3,1,0.18777796626091003,0.7991689750692521,0.15233294665813446,-0.04556749016046524,0.7368421052631579,0.15789473684210525,19,2,B
3,2,0.3337330222129822,0.7409972299168974,0.33803802728652954,-0.0866740494966507,0.47368421052631576,0.631578947368421,19,2,B
8,1,0.10074349492788315,0.7202216066481995,0.2367420494556427,0.17258691787719727,0.631578947368421,0.21052631578947367,19,2,B
8,2,0.49398255348205566,0.9238227146814404,0.5622203946113586,0.15886574983596802,0.7894736842105263,0.9473684210526315,19,2,B
13,1,0.4749405086040497,0.979224376731302,0.5947554111480713,0.13644909858703613,0.9473684210526315,0.8947368421052632,19,2,B
13,2,0.8289929628372192,1.0,0.5084953904151917,-0.3357093334197998,1.0,0.8947368421052632,19,2,B
3,1,0.18777796626091003,0.7991689750692521,0.15233294665813446,-0.04556749016046524,0.7368421052631579,0.15789473684210525,19,2,B
3,2,0.3337330222129822,0.7409972299168974,0.33803802728652954,-0.0866740494966507,0.47368421052631576,0.631578947368421,19,2,B
8,1,0.10074349492788315,0.7202216066481995,0.2367420494556427,0.17258691787719727,0.631578947368421,0.21052631578947367,19,2,B
8,2,0.49398255348205566,0.9238227146814404,0.5622203946113586,0.15886574983596802,0.7894736842105263,0.9473684210526315,19,2,B
13,1,0.4749405086040497,0.979224376731302,0.5947554111480713,0.13644909858703613,0.9473684210526315,0.8947368421052632,19,2,B
13,2,0.8289929628372192,1.0,0.5084953904151917,-0.3357093334197998,1.0,0.8947368421052632,19,2,B
3,1,0.18777796626091003,0.7991689750692521,0.15233294665813446,-0.04556749016046524,0.7368421052631579,0.15789473684210525,19,2,B
3,2,0.3337330222129822,0.7409972299168974,0.33803802728652954,-0.0866740494966507,0.47368421052631576,0.631578947368421,19,2,B
8,1,0.10074349492788315,0.7202216066481995,0.2367420494556427,0.17258691787719727,0.631578947368421,0.21052631578947367,19,2,B
8,2,0.49398255348205566,0.9238227146814404,0.5622203946113586,0.15886574983596802,0.7894736842105263,0.9473684210526315,19,2,B
13,1,0.4749405086040497,0.979224376731302,0.5947554111480713,0.13644909858703613,0.9473684210526315,0.8947368421052632,19,2,B
13,2,0.8289929628372192,1.0,0.5084953904151917,-0.3357093334197998,1.0,0.8947368421052632,19,2,B
3,1,0.18777796626091003,0.7991689750692521,0.15233294665813446,-0.04556749016046524,0.7368421052631579,0.15789473684210525,19,2,B
3,2,0.3337330222129822,0.7409972299168974,0.33803802728652954,-0.0866740494966507,0.47368421052631576,0.631578947368421,19,2,B
8,1,0.10074349492788315,0.7202216066481995,0.2367420494556427,0.17258691787719727,0.631578947368421,0.21052631578947367,19,2,B
8,2,0.49398255348205566,0.9238227146814404,0.5622203946113586,0.15886574983596802,0.7894736842105263,0.9473684210526315,19,2,B
13,1,0.4749405086040497,0.979224376731302,0.5947554111480713,0.13644909858703613,0.9473684210526315,0.8947368421052632,19,2,B
13,2,0.8289929628372192,1.0,0.5084953904151917,-0.3357093334197998,1.0,0.8947368421052632,19,2,B
