partition,study,participant_stem,recording_key,release_layout_id,p0_layout_id,sampling_rate_hz,support_block,query_block,population_source_count,method_id,status,operator_source,gamma,fallback_used,uses_query_external_eog,matching_projector_attenuation_db,population_projector_attenuation_db,nonartifact_observation_preservation,artifact_sample_fraction,rest_sample_fraction,eog_coherence_raw,eog_coherence_output,eog_coherence_reduction,reference_free_psd_distortion,reference_free_covariance_distortion,heldout_eog_prediction_remaining_ratio,condition_erp_observation_relative_preservation,condition_erp_proxy_status,observation_change_ratio,clean_waveform_metric
development,study01,study01_p01,study01/study01_p01,layout_01,p0_layout_01,200.0,1,2,4,raw,success,raw,,False,False,0.0,0.0,1.0,0.35782407407407407,0.31090277777777775,0.45402014081278486,0.45402014081278486,0.0,0.0,0.0,1.0,1.0,success_observation_relative_four_condition_ERP,0.0,N/A_no_clean_target
development,study01,study01_p01,study01/study01_p01,layout_01,p0_layout_01,200.0,1,2,4,pop_Qy,success,Pi0,,False,False,30.073613495600107,306.21090124150976,0.28817449101290116,0.35782407407407407,0.31090277777777775,0.45402014081278486,0.2536306216640284,0.20038951914875647,0.6040364542039739,0.8989388892012642,0.3895329427534243,0.026491733435419107,success_observation_relative_four_condition_ERP,0.9288799169603633,N/A_no_clean_target
development,study01,study01_p01,study01/study01_p01,layout_01,p0_layout_01,200.0,1,2,4,POP_fallback,success,Pi0,,True,False,30.073613495600107,306.21090124150976,0.28817449101290116,0.35782407407407407,0.31090277777777775,0.45402014081278486,0.2536306216640284,0.20038951914875647,0.6040364542039739,0.8989388892012642,0.3895329427534243,0.026491733435419107,success_observation_relative_four_condition_ERP,0.9288799169603633,N/A_no_clean_target
development,study01,study01_p01,study01/study01_p01,layout_01,p0_layout_01,200.0,1,2,4,matching_Qy,success,matching_block1_P0,,False,False,314.55522134878834,31.240238992318623,0.3278853128562542,0.35782407407407407,0.31090277777777775,0.45402014081278486,0.06524515662902647,0.3887749841837584,0.5522453276491436,0.8634538798497381,0.34526563643966973,0.01843303998785817,success_observation_relative_four_condition_ERP,0.9297865791898154,N/A_no_clean_target
development,study01,study01_p01,study01/study01_p01,layout_01,p0_layout_01,200.0,1,2,4,wrong_Qy,success,study01_p02,,False,False,25.075252143695362,33.08024960389892,0.27947475944649247,0.35782407407407407,0.31090277777777775,0.45402014081278486,0.2810377638445373,0.17298237696824753,0.6255997904517101,0.9085390096997924,0.4260883464290063,0.0401497714842346,success_observation_relative_four_condition_ERP,0.9186745946884275,N/A_no_clean_target
development,study01,study01_p01,study01/study01_p01,layout_01,p0_layout_01,200.0,1,2,4,shuffled_Qy,fallback_POP,shuffled_P0_ineligible,,True,False,30.073613495600107,306.21090124150976,0.28817449101290116,0.35782407407407407,0.31090277777777775,0.45402014081278486,0.2536306216640284,0.20038951914875647,0.6040364542039739,0.8989388892012642,0.3895329427534243,0.026491733435419107,success_observation_relative_four_condition_ERP,0.9288799169603633,N/A_no_clean_target
development,study01,study01_p01,study01/study01_p01,layout_01,p0_layout_01,200.0,1,2,4,B6_Qy__gamma_0,success,B6_POP_SHRINK,0.0,False,False,30.073613495600107,306.21090124150976,0.28817449101290116,0.35782407407407407,0.31090277777777775,0.45402014081278486,0.2536306216640284,0.20038951914875647,0.6040364542039739,0.8989388892012642,0.3895329427534243,0.026491733435419107,success_observation_relative_four_condition_ERP,0.9288799169603633,N/A_no_clean_target
development,study01,study01_p01,study01/study01_p01,layout_01,p0_layout_01,200.0,1,2,4,B6_soft_proximal__gamma_0,success,B6_POP_SHRINK,0.0,False,False,11.62208913559801,12.04119982655924,0.46613086825967587,0.35782407407407407,0.31090277777777775,0.45402014081278486,0.22541253806297779,0.22860760274980707,0.5139730059708115,0.7705985978103086,0.42005672741957173,0.26986880007656433,success_observation_relative_four_condition_ERP,0.6966599377202726,N/A_no_clean_target
development,study01,study01_p01,study01/study01_p01,layout_01,p0_layout_01,200.0,1,2,4,B6_Qy__gamma_0p25,success,B6_POP_SHRINK,0.25,False,False,33.10754694534276,42.64547285834137,0.29734429871844825,0.35782407407407407,0.31090277777777775,0.45402014081278486,0.21021844118262448,0.24380169963016038,0.5917461969661303,0.8911884305492784,0.37488306913781355,0.02286894347922286,success_observation_relative_four_condition_ERP,0.9305408313657987,N/A_no_clean_target
development,study01,study01_p01,study01/study01_p01,layout_01,p0_layout_01,200.0,1,2,4,B6_soft_proximal__gamma_0p25,success,B6_POP_SHRINK,0.25,False,False,11.813641628095006,12.106222280135341,0.47300822403883613,0.35782407407407407,0.31090277777777775,0.45402014081278486,0.22138734149650036,0.2326327993162845,0.5010340772985091,0.7601219950760777,0.4091186829572905,0.2671517076094173,success_observation_relative_four_condition_ERP,0.6979056235243489,N/A_no_clean_target
