target_index,target_channel,x2d,y2d,source
0,Fpz,0.406,0.0,official ChannelPosition.locs
1,Fp1,0.3861289456158324,-0.12546089971622865,official ChannelPosition.locs
2,Fp2,0.3861289456158324,0.12546089971622865,official ChannelPosition.locs
3,Af3,0.31573316473418706,-0.13402077707182092,official ChannelPosition.locs
4,Af4,0.31573316473418706,0.13402077707182092,official ChannelPosition.locs
5,Af7,0.32846089971622866,-0.23864081243074411,official ChannelPosition.locs
6,Af8,0.32846089971622866,0.23864081243074411,official ChannelPosition.locs
7,Fz,0.203,0.0,official ChannelPosition.locs
8,F1,0.2044541134028872,-0.07848258095042075,official ChannelPosition.locs
9,F2,0.2044541134028872,0.07848258095042075,official ChannelPosition.locs
10,F3,0.22526681217947275,-0.15773351999653767,official ChannelPosition.locs
11,F4,0.22526681217947275,0.15773351999653767,official ChannelPosition.locs
12,F5,0.252160988476616,-0.26112034752293034,official ChannelPosition.locs
13,F6,0.252160988476616,0.26112034752293034,official ChannelPosition.locs
14,F7,0.23864081243074411,-0.32846089971622866,official ChannelPosition.locs
15,F8,0.23864081243074411,0.32846089971622866,official ChannelPosition.locs
16,Fcz,0.101,0.0,official ChannelPosition.locs
17,Fc1,0.1040402755668352,-0.09367828489024016,official ChannelPosition.locs
18,Fc2,0.1040402755668352,0.09367828489024016,official ChannelPosition.locs
19,Fc3,0.10950000000000003,-0.18965956342879206,official ChannelPosition.locs
20,Fc4,0.10950000000000003,0.18965956342879206,official ChannelPosition.locs
21,Fc5,0.11238197802477358,-0.27815515637003624,official ChannelPosition.locs
22,Fc6,0.11238197802477358,0.27815515637003624,official ChannelPosition.locs
23,Ft7,0.12546089971622867,-0.3861289456158324,official ChannelPosition.locs
24,Ft8,0.12546089971622867,0.3861289456158324,official ChannelPosition.locs
25,Cz,0.0,0.0,official ChannelPosition.locs
26,C1,6.184466335694134e-18,-0.101,official ChannelPosition.locs
27,C2,6.184466335694134e-18,0.101,official ChannelPosition.locs
28,C3,1.2430165011345635e-17,-0.203,official ChannelPosition.locs
29,C4,1.2430165011345635e-17,0.203,official ChannelPosition.locs
30,C5,1.8614631347039768e-17,-0.304,official ChannelPosition.locs
31,C6,1.8614631347039768e-17,0.304,official ChannelPosition.locs
32,T7,2.486033002269127e-17,-0.406,official ChannelPosition.locs
33,T8,2.486033002269127e-17,0.406,official ChannelPosition.locs
34,Cp1,-0.10404027556683518,-0.09367828489024017,official ChannelPosition.locs
35,Cp2,-0.10404027556683518,0.09367828489024017,official ChannelPosition.locs
36,Cp3,-0.10949999999999994,-0.1896595634287921,official ChannelPosition.locs
37,Cp4,-0.10949999999999994,0.1896595634287921,official ChannelPosition.locs
38,Cp5,-0.11238197802477362,-0.27815515637003624,official ChannelPosition.locs
39,Cp6,-0.11238197802477362,0.27815515637003624,official ChannelPosition.locs
40,Tp7,-0.12546089971622862,-0.3861289456158324,official ChannelPosition.locs
41,Tp8,-0.12546089971622862,0.3861289456158324,official ChannelPosition.locs
42,Pz,-0.181,2.2166107064567093e-17,official ChannelPosition.locs
43,P3,-0.22526681217947278,-0.15773351999653765,official ChannelPosition.locs
44,P4,-0.22526681217947278,0.15773351999653765,official ChannelPosition.locs
45,P5,-0.2382678210674361,-0.24673355151615733,official ChannelPosition.locs
46,P6,-0.2382678210674361,0.24673355151615733,official ChannelPosition.locs
47,P7,-0.23864081243074406,-0.32846089971622866,official ChannelPosition.locs
48,P8,-0.23864081243074406,0.32846089971622866,official ChannelPosition.locs
49,Poz,-0.304,3.7229262694079535e-17,official ChannelPosition.locs
50,Po3,-0.31573316473418706,-0.13402077707182092,official ChannelPosition.locs
51,Po4,-0.31573316473418706,0.13402077707182092,official ChannelPosition.locs
52,Po7,-0.32846089971622866,-0.23864081243074414,official ChannelPosition.locs
53,Po8,-0.32846089971622866,0.23864081243074414,official ChannelPosition.locs
54,Oz,-0.406,4.972066004538254e-17,official ChannelPosition.locs
55,O1,-0.3861289456158324,-0.1254608997162287,official ChannelPosition.locs
56,O2,-0.3861289456158324,0.1254608997162287,official ChannelPosition.locs
